record_id,submitted_at,status,region,processing_hours,assigned_office
SR-000001,2024-01-16T21:13:00,submitted,North Verdalia,24.3,Office-South-02
SR-000002,2024-01-20T14:05:00,closed,South Verdalia,36.1,Office-West-04
SR-000003,2024-01-13T06:58:00,closed,South Verdalia,13.5,Office-West-04
SR-000004,2024-01-03T19:15:00,resolved,South Verdalia,49.6,Office-North-01
SR-000005,2024-01-18T01:27:00,in_review,Eastport,5.8,Office-South-02
SR-000006,2024-01-02T04:59:00,in_review,South Verdalia,47.1,Office-East-03
SR-000007,2024-01-09T17:47:00,closed,Western Highlands,28.8,Office-East-03
SR-000008,2024-01-25T02:47:00,submitted,Capital District,21.4,Office-South-02
SR-000009,2024-01-15T19:39:00,resolved,Capital District,20.6,Office-Capital-01
SR-000010,2024-01-18T15:54:00,resolved,Eastport,29.4,Office-East-03
SR-000011,2024-01-29T14:12:00,closed,Eastport,18.9,Office-West-04
SR-000012,2024-01-08T11:48:00,closed,Eastport,5.4,Office-West-04
SR-000013,2024-01-25T08:37:00,in_review,Western Highlands,15.2,Office-West-04
SR-000014,2024-01-23T12:25:00,resolved,South Verdalia,32.8,Office-North-01
SR-000015,2024-01-12T23:11:00,submitted,Capital District,17.0,Office-West-04
SR-000016,2024-01-09T16:31:00,submitted,Capital District,6.0,Office-West-04
SR-000017,2024-01-09T18:06:00,closed,Eastport,5.9,Office-East-03
SR-000018,2024-01-13T20:42:00,resolved,Capital District,29.6,Office-Capital-01
SR-000019,2024-01-19T19:41:00,in_review,South Verdalia,33.1,Office-North-01
SR-000020,2024-01-14T15:42:00,resolved,North Verdalia,37.6,Office-Capital-01
SR-000021,2024-01-06T20:00:00,closed,Capital District,38.7,Office-East-03
SR-000022,2024-01-28T19:33:00,in_review,Capital District,13.3,Office-North-01
SR-000023,2024-01-12T08:55:00,resolved,Eastport,53.7,Office-Capital-01
SR-000024,2024-01-26T23:00:00,submitted,Eastport,24.7,Office-South-02
SR-000025,2024-01-07T04:51:00,in_review,South Verdalia,19.0,Office-Capital-01
SR-000026,2024-01-09T23:58:00,in_review,North Verdalia,6.6,Office-East-03
SR-000027,2024-01-23T00:20:00,resolved,Western Highlands,35.9,Office-North-01
SR-000028,2024-01-09T09:20:00,closed,Capital District,6.2,Office-North-01
SR-000029,2024-01-27T17:58:00,submitted,South Verdalia,26.9,Office-North-01
SR-000030,2024-01-13T05:03:00,in_review,Western Highlands,11.7,Office-North-01
SR-000031,2024-01-14T05:40:00,submitted,North Verdalia,9.3,Office-East-03
SR-000032,2024-01-02T20:38:00,submitted,Eastport,7.1,Office-North-01
SR-000033,2024-01-13T21:47:00,resolved,Eastport,59.7,Office-South-02
SR-000034,2024-01-10T07:33:00,in_review,Eastport,21.6,Office-Capital-01
SR-000035,2024-01-17T06:14:00,closed,Western Highlands,20.1,Office-East-03
SR-000036,2024-01-28T19:36:00,resolved,North Verdalia,37.8,Office-East-03
SR-000037,2024-01-02T16:34:00,in_review,North Verdalia,49.9,Office-West-04
SR-000038,2024-01-25T04:47:00,resolved,North Verdalia,8.2,Office-North-01
SR-000039,2024-01-13T04:09:00,in_review,Capital District,5.4,Office-Capital-01
SR-000040,2024-01-16T04:06:00,closed,South Verdalia,38.5,Office-East-03
SR-000041,2024-01-15T02:09:00,submitted,South Verdalia,10.9,Office-North-01
SR-000042,2024-01-15T10:54:00,resolved,Western Highlands,16.8,Office-East-03
SR-000043,2024-01-25T22:51:00,submitted,South Verdalia,15.7,Office-Capital-01
SR-000044,2024-01-28T09:44:00,resolved,Western Highlands,2.3,Office-North-01
SR-000045,2024-01-29T05:08:00,resolved,South Verdalia,10.7,Office-North-01
SR-000046,2024-01-18T01:14:00,submitted,Eastport,29.1,Office-West-04
SR-000047,2024-01-21T18:09:00,closed,Western Highlands,27.3,Office-East-03
SR-000048,2024-01-28T23:34:00,resolved,Western Highlands,9.0,Office-Capital-01
SR-000049,2024-01-28T03:08:00,closed,North Verdalia,13.3,Office-Capital-01
SR-000050,2024-01-29T07:54:00,in_review,Eastport,1.7,Office-North-01
SR-000051,2024-01-03T07:25:00,resolved,North Verdalia,7.8,Office-South-02
SR-000052,2024-01-02T02:25:00,submitted,North Verdalia,55.6,Office-Capital-01
SR-000053,2024-01-18T05:21:00,resolved,South Verdalia,12.3,Office-Capital-01
SR-000054,2024-01-05T05:41:00,in_review,Western Highlands,35.2,Office-East-03
SR-000055,2024-01-26T09:54:00,resolved,Western Highlands,12.5,Office-North-01
SR-000056,2024-01-23T01:44:00,resolved,Western Highlands,31.2,Office-Capital-01
SR-000057,2024-01-05T19:04:00,resolved,Eastport,6.2,Office-South-02
SR-000058,2024-01-05T13:49:00,closed,South Verdalia,31.4,Office-East-03
