record_id,submitted_at,status,region,processing_hours,assigned_office
SR-000367,2024-02-16T05:32:00,in_review,North Verdalia,5.0,Office-South-02
SR-000501,2024-02-08T03:10:00,closed,South Verdalia,22.2,Office-South-02
SR-000443,2024-02-11T02:59:00,resolved,Capital District,52.6,Office-Capital-01
SR-000428,2024-02-19T00:13:00,resolved,South Verdalia,42.9,Office-West-04
SR-000476,2024-02-22T03:01:00,resolved,South Verdalia,12.6,Office-East-03
SR-000450,2024-02-06T19:47:00,resolved,Western Highlands,24.4,Office-East-03
SR-000368,2024-02-12T16:29:00,closed,South Verdalia,16.0,Office-West-04
SR-000233,2024-01-13T09:00:00,resolved,Capital District,12.0,Office-Capital-01
SR-000563,2024-02-03T10:01:00,submitted,Western Highlands,16.5,Office-North-01
SR-000362,2024-02-08T00:11:00,in_review,North Verdalia,16.2,Office-Capital-01
SR-000587,2024-02-07T09:53:00,resolved,Eastport,33.9,Office-West-04
SR-000502,2024-02-04T10:31:00,in_review,Eastport,17.0,Office-West-04
SR-000478,2024-02-11T11:59:00,closed,Eastport,42.8,Office-South-02
SR-000406,2024-02-09T04:27:00,in_review,Western Highlands,25.6,Office-South-02
SR-000311,2024-02-26T09:52:00,submitted,Eastport,12.7,Office-Capital-01
SR-000348,2024-02-15T20:29:00,submitted,South Verdalia,7.4,Office-Capital-01
SR-000201,2024-01-12T09:00:00,resolved,Capital District,6.9,Office-West-04
SR-000339,2024-02-23T23:22:00,submitted,North Verdalia,13.8,Office-North-01
SR-000380,2024-02-03T21:15:00,closed,Eastport,18.1,Office-Capital-01
SR-000347,2024-02-18T07:49:00,in_review,Western Highlands,11.6,Office-West-04
SR-000553,2024-02-02T08:26:00,in_review,Capital District,8.8,Office-South-02
SR-000519,2024-02-26T08:35:00,closed,Western Highlands,3.9,Office-North-01
SR-000317,2024-02-11T12:55:00,resolved,North Verdalia,7.1,Office-West-04
SR-000071,2024-01-06T09:00:00,resolved,Western Highlands,7.0,Office-East-03
SR-000410,2024-02-10T20:57:00,submitted,South Verdalia,10.9,Office-North-01
SR-000556,2024-02-22T06:39:00,resolved,North Verdalia,48.4,Office-North-01
SR-000463,2024-02-03T10:36:00,submitted,North Verdalia,17.5,Office-North-01
SR-000422,2024-02-12T01:49:00,in_review,North Verdalia,37.8,Office-South-02
SR-000566,2024-02-10T19:35:00,in_review,Eastport,6.0,Office-Capital-01
SR-000399,2024-02-16T21:15:00,closed,Capital District,15.4,Office-North-01
SR-000360,2024-02-20T12:44:00,resolved,Eastport,20.1,Office-South-02
SR-000403,2024-02-10T06:29:00,resolved,Western Highlands,3.1,Office-Capital-01
SR-000437,2024-02-25T06:00:00,submitted,Eastport,9.7,Office-South-02
SR-000549,2024-02-15T02:21:00,in_review,Eastport,8.6,Office-North-01
SR-000538,2024-02-09T06:26:00,submitted,South Verdalia,20.0,Office-East-03
SR-000546,2024-02-06T00:24:00,resolved,South Verdalia,12.0,Office-West-04
SR-000331,2024-02-11T04:23:00,in_review,Capital District,17.1,Office-East-03
SR-000496,2024-02-08T05:23:00,in_review,North Verdalia,8.2,Office-East-03
SR-000381,2024-02-08T19:13:00,in_review,Western Highlands,17.9,Office-Capital-01
SR-000178,2024-01-11T09:00:00,resolved,Capital District,5.5,Office-Capital-01
SR-000104,2024-01-08T09:00:00,resolved,Western Highlands,5.6,Office-North-01
SR-000315,2024-02-03T00:46:00,in_review,North Verdalia,8.6,Office-Capital-01
SR-000435,2024-02-05T12:53:00,in_review,Capital District,28.2,Office-Capital-01
SR-000326,2024-02-25T00:15:00,closed,South Verdalia,18.9,Office-South-02
SR-000544,2024-02-04T00:02:00,resolved,North Verdalia,10.4,Office-East-03
SR-000385,2024-02-16T21:07:00,in_review,Western Highlands,29.9,Office-South-02
SR-000423,2024-02-26T18:38:00,resolved,North Verdalia,7.3,Office-North-01
SR-000600,2024-02-09T17:26:00,resolved,Capital District,1.7,Office-West-04
SR-000332,2024-02-01T19:33:00,closed,North Verdalia,56.6,Office-South-02
SR-000522,2024-02-13T11:08:00,closed,Capital District,51.8,Office-West-04
SR-000465,2024-02-09T17:59:00,closed,South Verdalia,6.4,Office-South-02
SR-000588,2024-02-25T07:27:00,submitted,Western Highlands,51.1,Office-Capital-01
SR-000506,2024-02-20T02:35:00,closed,Eastport,24.6,Office-North-01
SR-000378,2024-02-14T20:16:00,submitted,North Verdalia,22.2,Office-Capital-01
SR-000511,2024-02-20T10:19:00,in_review,North Verdalia,19.8,Office-South-02
SR-000374,2024-02-26T10:46:00,rejected,Capital District,29.9,Office-South-02
SR-000424,2024-02-19T14:26:00,resolved,Capital District,14.5,Office-Capital-01
SR-000306,2024-02-11T08:08:00,resolved,North Verdalia,8.2,Office-South-02
SR-000431,2024-02-05T01:33:00,in_review,Western Highlands,16.7,Office-North-01
SR-000156,2024-01-10T09:00:00,resolved,Western Highlands,11.6,Office-North-01
SR-000535,2024-02-26T11:09:00,submitted,Eastport,17.1,Office-North-01
SR-000366,2024-02-21T05:35:00,resolved,North Verdalia,22.9,Office-South-02
SR-000012,2024-01-02T09:00:00,resolved,Capital District,6.8,Office-North-01
SR-000572,2024-02-23T20:24:00,in_review,Eastport,24.7,Office-West-04
SR-000571,2024-02-14T00:55:00,in_review,Western Highlands,17.7,Office-North-01
SR-000383,2024-02-20T14:03:00,resolved,Eastport,15.2,Office-East-03
SR-000359,2024-02-09T19:50:00,resolved,South Verdalia,36.4,Office-North-01
SR-000343,2024-02-20T18:17:00,closed,Capital District,28.9,Office-West-04
SR-000305,2024-02-18T03:06:00,closed,Capital District,31.9,Office-Capital-01
SR-000530,2024-02-11T06:54:00,closed,North Verdalia,38.8,Office-South-02
SR-000402,2024-02-19T11:41:00,closed,North Verdalia,24.3,Office-Capital-01
SR-000375,2024-02-15T18:18:00,in_review,Western Highlands,19.7,Office-East-03
SR-000415,2024-02-14T07:05:00,in_review,North Verdalia,20.3,Office-Capital-01
SR-000481,2024-02-21T10:29:00,submitted,Eastport,7.1,Office-Capital-01
SR-000548,2024-02-03T20:32:00,closed,Eastport,16.9,Office-South-02
SR-000552,2024-02-25T08:03:00,closed,North Verdalia,34.5,Office-South-02
SR-000371,2024-02-05T11:13:00,closed,Eastport,40.0,Office-West-04
SR-000307,2024-02-03T17:46:00,in_review,South Verdalia,7.0,Office-West-04
SR-000579,2024-02-17T16:58:00,resolved,Eastport,9.5,Office-Capital-01
SR-000047,2024-01-04T09:00:00,resolved,South Verdalia,24.1,Office-Capital-01
SR-000429,2024-02-05T07:01:00,closed,Eastport,34.2,Office-Capital-01
SR-000454,2024-02-02T06:44:00,in_review,Capital District,20.7,Office-Capital-01
SR-000427,2024-02-17T12:13:00,resolved,North Verdalia,12.8,Office-North-01
SR-000338,2024-02-14T00:24:00,closed,Capital District,22.6,Office-West-04
SR-000304,2024-02-07T22:27:00,resolved,North Verdalia,13.6,Office-North-01
SR-000497,2024-02-14T21:19:00,closed,North Verdalia,8.2,Office-West-04
SR-000384,2024-02-09T04:40:00,submitted,North Verdalia,18.8,Office-South-02
SR-000379,2024-02-15T08:22:00,resolved,Western Highlands,11.3,Office-Capital-01
SR-000580,2024-02-05T15:46:00,in_review,Eastport,13.4,Office-Capital-01
SR-000505,2024-02-04T11:56:00,in_review,North Verdalia,16.7,Office-South-02
SR-000504,2024-02-07T03:55:00,resolved,South Verdalia,28.9,Office-East-03
SR-000416,2024-02-08T07:58:00,in_review,Eastport,30.1,Office-Capital-01
SR-000365,2024-02-11T19:43:00,closed,Eastport,8.5,Office-East-03
SR-000521,2024-02-09T05:57:00,rejected,Eastport,11.9,Office-South-02
SR-000351,2024-02-06T18:32:00,closed,Capital District,33.4,Office-South-02
SR-000324,2024-02-11T10:50:00,resolved,Western Highlands,16.1,Office-Capital-01
SR-000344,2024-02-22T18:27:00,in_review,Western Highlands,17.5,Office-West-04
SR-000490,2024-02-16T19:33:00,resolved,Western Highlands,49.8,Office-North-01
SR-000325,2024-02-11T12:20:00,in_review,North Verdalia,56.1,Office-South-02
SR-000512,2024-02-19T00:03:00,closed,Capital District,13.3,Office-South-02
SR-000526,2024-02-16T14:22:00,resolved,Western Highlands,9.9,Office-North-01
SR-000447,2024-02-11T19:34:00,closed,Eastport,9.5,Office-West-04
SR-000586,2024-02-09T08:03:00,in_review,North Verdalia,10.9,Office-South-02
